candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Тягнибок О.Я,Кіровоградська,Kirovohradska,0.77,9,508754
Тягнибок О.Я,Херсонська,Khersonska,0.75,9,538431
Тягнибок О.Я,Дніпропетровська,Dnipropetrovska,0.63,9,1833458
Тягнибок О.Я,Миколаївська,Mykolaivska,0.62,9,601126
Тягнибок О.Я,Харківська,Kharkivska,0.57,10,1455120
Тягнибок О.Я,Одеська,Odeska,0.52,9,1160126
Тягнибок О.Я,Запорізька,Zaporizka,0.48,10,1010500
Тягнибок О.Я,м.Севастополь,Sevastopilska,0.29,11,204145
Тягнибок О.Я,Авт.Респ. Крим,Avtonomna Respublika Krym,0.25,11,981922
Тягнибок О.Я,Луганська,Luhanska,0.21,10,1313664
Тягнибок О.Я,Донецька,Donetska,0.19,10,2439002
Ющенко В.А,Львівська,Lvivska,30.76,2,1475124
Ющенко В.А,Тернопільська,Ternopilska,26.43,2,646679
Ющенко В.А,Івано-Франківська,Ivano-Frankivska,25.09,2,774146
Ющенко В.А,Чернівецька,Chernivetska,7.91,5,434568
Ющенко В.А,Рівненська,Rivnenska,7.28,4,623112
Ющенко В.А,Закарпатська,Zakarpatska,5.93,5,540736
Ющенко В.А,Волинська,Volynska,4.51,5,586568
Ющенко В.А,Сумська,Sumska,4.34,6,627338
Ющенко В.А,м.Київ,Kyiv,3.78,5,1430356
Ющенко В.А,Черкаська,Cherkaska,3.41,7,681265
Ющенко В.А,Хмельницька,Khmelnytska,3.27,6,748056
Ющенко В.А,Полтавська,Poltavska,3.07,7,803708
Ющенко В.А,Київська,Kyivska,3.02,6,944893
Ющенко В.А,Вінницька,Vinnytska,2.85,6,899734
Ющенко В.А,Житомирська,Zhytomyrska,2.8,7,691123
Ющенко В.А,Чернігівська,Chernihivska,2.13,7,602599
Ющенко В.А,Херсонська,Khersonska,1.87,7,538431
Ющенко В.А,Кіровоградська,Kirovohradska,1.58,7,508754
Ющенко В.А,Одеська,Odeska,1.5,7,1160126
Ющенко В.А,Харківська,Kharkivska,1.46,6,1455120
Ющенко В.А,Миколаївська,Mykolaivska,1.45,7,601126
Ющенко В.А,Авт.Респ. Крим,Avtonomna Respublika Krym,1.26,7,981922
Ющенко В.А,Дніпропетровська,Dnipropetrovska,1.23,7,1833458
Ющенко В.А,Запорізька,Zaporizka,1.06,7,1010500
Ющенко В.А,м.Севастополь,Sevastopilska,0.74,8,204145
Ющенко В.А,Луганська,Luhanska,0.68,6,1313664
Ющенко В.А,Донецька,Donetska,0.67,7,2439002
Янукович В.Ф,Донецька,Donetska,76.04,1,2439002
Янукович В.Ф,Луганська,Luhanska,71.07,1,1313664
Янукович В.Ф,Авт.Респ. Крим,Avtonomna Respublika Krym,61.13,1,981922
Янукович В.Ф,м.Севастополь,Sevastopilska,56.09,1,204145
Янукович В.Ф,Миколаївська,Mykolaivska,51.27,1,601126
Янукович В.Ф,Одеська,Odeska,51.12,1,1160126
Янукович В.Ф,Запорізька,Zaporizka,50.83,1,1010500
Янукович В.Ф,Харківська,Kharkivska,50.18,1,1455120
